Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute_agg,precision_squared_agg,precision_ssim_agg,precision_psnr_agg,recall_absolute_agg,recall_squared_agg,recall_ssim_agg,recall_psnr_agg,f1-score_absolute_agg,f1-score_squared_agg,f1-score_ssim_agg,f1-score_psnr_agg,support_absolute_agg,support_squared_agg,support_ssim_agg,support_psnr_agg,conf_mat_absolute_agg,conf_mat_squared_agg,conf_mat_ssim_agg,conf_mat_psnr_agg,precision_absolute_overall,precision_squared_overall,precision_ssim_overall,precision_psnr_overall,recall_absolute_overall,recall_squared_overall,recall_ssim_overall,recall_psnr_overall,f1-score_absolute_overall,f1-score_squared_overall,f1-score_ssim_overall,f1-score_psnr_overall,support_absolute_overall,support_squared_overall,support_ssim_overall,support_psnr_overall,conf_mat_absolute_overall,conf_mat_squared_overall,conf_mat_ssim_overall,conf_mat_psnr_overall
BICGRU_AE_64_3X3_L,BICGRU_AE_64_3X3_L-5_RL-1_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5497,0.5444,0.5539,0.5584,0.5188,0.5113,0.5215,0.5817,0.5048,0.4983,0.5074,0.5579,0.4558,0.4582,0.4563,0.4599,0.5052,0.5117,0.5056,0.4765,0.8831,0.8794,0.8841,0.9046,0.8767,0.8724,0.8776,0.902,0.8731,0.8685,0.8745,0.8935,0.8121,0.8154,0.8208,0.8157,0.4385,0.408,0.3716,0.4069,0.5145,0.4796,0.4347,0.4782,49980,49980,49980,49980,"4528,1764,26298,17390","4783,1509,28077,15611","5091,1201,30204,13484","4797,1495,28147,15541",0.8009,0.8013,0.8023,0.8018,0.8389,0.8395,0.8068,0.8427,0.8169,0.8173,0.8045,0.8185,49980,49980,49980,49980,"794,5498,2552,41136","795,5497,2527,41161","1298,4994,4664,39024","756,5536,2327,41361"
BICGRU_AE_64_3X3_L,BICGRU_AE_64_3X3_L-5_RL-2_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5727,0.571,0.5908,0.5688,0.518,0.5111,0.5216,0.5815,0.5048,0.4996,0.5089,0.5579,0.4329,0.4324,0.4199,0.4507,0.503,0.506,0.5017,0.4764,0.8866,0.8842,0.8906,0.9067,0.8762,0.8723,0.8776,0.902,0.8727,0.8684,0.8747,0.8934,0.8135,0.8189,0.8205,0.8112,0.5129,0.5203,0.4094,0.5416,0.5901,0.5965,0.4801,0.617,49980,49980,49980,49980,"4115,2177,22170,21518","4232,2060,21917,21771","4888,1404,28115,15573","3860,2432,20478,23210",0.8038,0.8037,0.803,0.8015,0.8472,0.8465,0.8112,0.8421,0.8208,0.8206,0.807,0.8182,49980,49980,49980,49980,"731,5561,2078,41610","740,5552,2118,41570","1263,5029,4405,39283","757,5535,2358,41330"
BICGRU_AE_64_3X3_L,BICGRU_AE_64_3X3_L-5_RL-3_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5699,0.5723,0.5954,0.574,0.5227,0.5133,0.5241,0.5808,0.5094,0.5008,0.5102,0.5582,0.434,0.4306,0.4147,0.4472,0.4979,0.5048,0.4992,0.4743,0.8862,0.8839,0.8914,0.9081,0.8778,0.8726,0.8782,0.902,0.8742,0.8683,0.875,0.8938,0.814,0.8164,0.8209,0.8137,0.4656,0.5671,0.4178,0.5005,0.5429,0.6393,0.4897,0.5781,49980,49980,49980,49980,"4415,1877,24834,18854","3867,2425,19212,24476","4854,1438,27660,16028","4196,2096,22869,20819",0.8027,0.8021,0.7999,0.8018,0.8438,0.8422,0.7931,0.8425,0.8194,0.8186,0.7964,0.8185,49980,49980,49980,49980,"760,5532,2273,41415","774,5518,2369,41319","1370,4922,5420,38268","759,5533,2337,41351"
BICGRU_AE_64_3X3_L,BICGRU_AE_64_3X3_L-5_RL-4_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5756,0.5789,0.5961,0.5893,0.5297,0.5224,0.5334,0.5859,0.5202,0.5139,0.5236,0.5635,0.4318,0.4274,0.4188,0.4372,0.4884,0.4933,0.4882,0.4714,0.8868,0.8846,0.8916,0.9111,0.8804,0.8759,0.8819,0.9037,0.8767,0.8715,0.8789,0.8955,0.8155,0.8148,0.8208,0.8147,0.4742,0.5651,0.4318,0.5061,0.5516,0.6377,0.5055,0.5835,49980,49980,49980,49980,"4405,1887,24393,19295","3826,2466,19269,24419","4776,1516,26881,16807","4192,2100,22585,21103",0.8015,0.8016,0.8021,0.8005,0.8404,0.8407,0.7981,0.8383,0.8177,0.8179,0.8001,0.8165,49980,49980,49980,49980,"787,5505,2472,41216","783,5509,2451,41237","1393,4899,5191,38497","791,5501,2581,41107"
BICGRU_AE_64_3X3_L,BICGRU_AE_64_3X3_L-5_RL-5_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.6025,0.5951,0.6116,0.5913,0.5508,0.5395,0.557,0.5941,0.5489,0.5392,0.5556,0.5756,0.415,0.4176,0.4079,0.4421,0.4681,0.4715,0.4628,0.4604,0.8946,0.8888,0.8979,0.9063,0.89,0.8833,0.8924,0.9067,0.888,0.8798,0.8911,0.8994,0.8125,0.8162,0.8081,0.8166,0.64,0.6101,0.5012,0.5401,0.6991,0.6756,0.5795,0.6152,49980,49980,49980,49980,"3234,3058,14935,28753","3580,2712,16774,26914","4027,2265,22665,21023","4041,2251,20734,22954",0.7961,0.7963,0.8044,0.8,0.4982,0.5325,0.8138,0.8369,0.578,0.6098,0.8089,0.8157,49980,49980,49980,49980,"3684,2608,22473,21215","3437,2855,20509,23179","1282,5010,4298,39390","799,5493,2661,41027"
BICGRU_AE_64_3X3_L,BICGRU_AE_64_3X3_L-5_RL-1_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5585,0.569,0.5836,0.549,0.5239,0.5107,0.5285,0.5787,0.5072,0.4999,0.5127,0.5538,0.4484,0.4329,0.4274,0.4732,0.5028,0.5029,0.4993,0.4783,0.8829,0.8785,0.8893,0.9066,0.8735,0.8654,0.8763,0.9012,0.8692,0.8586,0.873,0.8905,0.8171,0.811,0.8458,0.8101,0.411,0.5505,0.3067,0.5165,0.4813,0.6242,0.3409,0.5929,49980,49980,49980,49980,"4905,1460,27979,15636","3903,2462,20002,23613","5844,521,34129,9486","4094,2271,21896,21719",0.8051,0.8058,0.8011,0.8068,0.8434,0.8454,0.8041,0.8485,0.8205,0.8214,0.8026,0.8226,49980,49980,49980,49980,"881,5484,2342,41273","862,5503,2224,41391","1358,5007,4784,38831","824,5541,2033,41582"
BICGRU_AE_64_3X3_L,BICGRU_AE_64_3X3_L-5_RL-2_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5658,0.5722,0.5887,0.5571,0.5351,0.5231,0.5416,0.5854,0.523,0.5164,0.5301,0.5641,0.4426,0.4301,0.4262,0.4636,0.4878,0.4891,0.4838,0.4684,0.8848,0.8801,0.8915,0.9084,0.8781,0.8708,0.882,0.904,0.8742,0.8638,0.8792,0.8946,0.8122,0.8148,0.8512,0.8197,0.477,0.5268,0.2986,0.4511,0.5539,0.6022,0.3281,0.5255,49980,49980,49980,49980,"4401,1964,24177,19438","4173,2192,21457,22158","5932,433,34623,8992","4748,1617,25819,17796",0.8046,0.8037,0.8001,0.8042,0.8433,0.8407,0.7962,0.843,0.8202,0.8189,0.7981,0.8198,49980,49980,49980,49980,"867,5498,2332,41283","889,5476,2486,41129","1418,4947,5240,38375","861,5504,2342,41273"
BICGRU_AE_64_3X3_L,BICGRU_AE_64_3X3_L-5_RL-3_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.6109,0.6107,0.6281,0.5268,0.57,0.5572,0.5831,0.6032,0.5669,0.5628,0.5834,0.5886,0.4098,0.4025,0.3962,0.512,0.4474,0.444,0.4346,0.4451,0.8955,0.8879,0.9011,0.8845,0.8923,0.8831,0.898,0.9116,0.8892,0.8755,0.8958,0.9035,0.8196,0.8193,0.8015,0.8168,0.531,0.6121,0.7976,0.6181,0.6057,0.6767,0.7995,0.6815,49980,49980,49980,49980,"4292,2073,21366,22249","3780,2585,16800,26815","1451,4914,5201,38414","3649,2716,16370,27245",0.7994,0.8041,0.8112,0.8009,0.586,0.6025,0.4284,0.6526,0.6549,0.6685,0.5023,0.7069,49980,49980,49980,49980,"3255,3110,17582,26033","3301,3064,16802,26813","4668,1697,26872,16743","2797,3568,13795,29820"
BICLSTM_AE_64_3X3_L,BICLSTM_AE_64_3X3_L-5_RL-1_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5617,0.5526,0.572,0.5737,0.5175,0.5098,0.5207,0.5794,0.5035,0.4972,0.5067,0.5567,0.4389,0.4487,0.436,0.447,0.5048,0.5092,0.5038,0.4761,0.8845,0.8803,0.8873,0.9055,0.8758,0.8716,0.8773,0.9014,0.8723,0.8677,0.8744,0.8932,0.8061,0.8115,0.817,0.8121,0.555,0.527,0.4157,0.4558,0.6292,0.6035,0.4881,0.533,49980,49980,49980,49980,"3602,2690,19550,24138","3964,2328,21315,22373","4776,1516,27686,16002","4423,1869,25331,18357",0.8032,0.8008,0.8008,0.8014,0.8463,0.839,0.8007,0.8425,0.8203,0.8169,0.8007,0.8183,49980,49980,49980,49980,"730,5562,2122,41566","791,5501,2547,41141","1315,4977,4986,38702","748,5544,2327,41361"
BICLSTM_AE_64_3X3_L,BICLSTM_AE_64_3X3_L-5_RL-2_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5649,0.5622,0.5809,0.5796,0.5192,0.5116,0.5222,0.5823,0.5052,0.499,0.5081,0.5582,0.437,0.4399,0.4305,0.4428,0.5023,0.5076,0.5031,0.4767,0.8852,0.8823,0.8888,0.9093,0.8763,0.8722,0.8775,0.9021,0.8726,0.8682,0.8744,0.8934,0.8135,0.8164,0.8245,0.8145,0.4723,0.4855,0.415,0.4479,0.55,0.563,0.4858,0.5242,49980,49980,49980,49980,"4361,1931,24441,19247","4364,1928,23785,19903","4947,1345,27893,15795","4532,1760,25836,17852",0.8043,0.8025,0.8039,0.8015,0.8485,0.8431,0.8179,0.8423,0.8214,0.819,0.8106,0.8183,49980,49980,49980,49980,"719,5573,2001,41687","768,5524,2319,41369","1208,5084,4016,39672","756,5536,2348,41340"
BICLSTM_AE_64_3X3_L,BICLSTM_AE_64_3X3_L-5_RL-3_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5636,0.5764,0.5952,0.5911,0.5255,0.5177,0.5282,0.5839,0.5143,0.5075,0.517,0.5609,0.4434,0.428,0.4177,0.4336,0.4968,0.4976,0.494,0.4741,0.8854,0.8845,0.8914,0.9115,0.8791,0.8743,0.8799,0.9029,0.8758,0.8703,0.8769,0.8945,0.8132,0.8191,0.8219,0.8115,0.4676,0.5215,0.4479,0.5478,0.5451,0.5977,0.523,0.6225,49980,49980,49980,49980,"4382,1910,24701,18987","4231,2061,21855,21833","4717,1575,26017,17671","3829,2463,20139,23549",0.8021,0.8023,0.8024,0.8005,0.842,0.8423,0.8043,0.8381,0.8185,0.8187,0.8033,0.8164,49980,49980,49980,49980,"777,5515,2384,41304","778,5514,2370,41318","1332,4960,4823,38865","795,5497,2596,41092"
BICLSTM_AE_64_3X3_L,BICLSTM_AE_64_3X3_L-5_RL-4_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5717,0.5724,0.5756,0.585,0.5364,0.5298,0.5398,0.5868,0.5282,0.5232,0.5321,0.5648,0.4353,0.4331,0.4325,0.4397,0.484,0.4867,0.4826,0.47,0.8876,0.8847,0.8889,0.91,0.8839,0.8797,0.885,0.9042,0.8807,0.8757,0.8822,0.896,0.8135,0.8135,0.8255,0.8135,0.4844,0.4901,0.3931,0.4874,0.5622,0.5679,0.4598,0.5652,49980,49980,49980,49980,"4288,2004,23768,19920","4255,2037,23448,20240","5076,1216,29119,14569","4272,2020,23602,20086",0.804,0.8029,0.8006,0.802,0.8473,0.8443,0.7863,0.8422,0.821,0.8196,0.7931,0.8185,49980,49980,49980,49980,"735,5557,2076,41612","758,5534,2249,41439","1472,4820,5863,37825","771,5521,2368,41320"
BICLSTM_AE_64_3X3_L,BICLSTM_AE_64_3X3_L-5_RL-5_DISDECONV-Y-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5466,0.5467,0.5478,0.5852,0.5145,0.5048,0.5143,0.5742,0.503,0.4981,0.5036,0.5588,0.4544,0.4548,0.4536,0.4404,0.4968,0.4987,0.4967,0.4695,0.8763,0.8724,0.8761,0.9047,0.8724,0.8667,0.872,0.9006,0.866,0.8578,0.8655,0.8953,0.8171,0.8142,0.8172,0.8166,0.3493,0.3673,0.444,0.3623,0.4069,0.4307,0.5195,0.4239,49980,49980,49980,49980,"5140,1152,31372,12316","4988,1304,30316,13372","4623,1669,26119,17569","5061,1231,30640,13048",0.8018,0.8017,0.8075,0.8014,0.8411,0.841,0.378,0.8412,0.8181,0.818,0.4455,0.8179,49980,49980,49980,49980,"782,5510,2431,41257","782,5510,2438,41250","4790,1502,29586,14102","770,5522,2415,41273"
BICRNN_AE_64_3X3_L,BICRNN_AE_64_3X3_L-5_RL-1_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5525,0.5401,0.5422,0.5952,0.5188,0.5233,0.5274,0.5784,0.505,0.5117,0.5158,0.5624,0.4523,0.4603,0.4585,0.4286,0.4991,0.4936,0.4913,0.4637,0.8806,0.8794,0.8813,0.9077,0.875,0.8768,0.8791,0.9012,0.8709,0.8737,0.8763,0.8959,0.8039,0.8092,0.817,0.8139,0.5052,0.4328,0.5019,0.3774,0.5838,0.5087,0.5791,0.4433,49980,49980,49980,49980,"3875,2417,22311,21377","4490,1802,26548,17140","4285,2007,22888,20800","4924,1368,29748,13940",0.8004,0.8055,0.8027,0.8043,0.8375,0.8518,0.4256,0.8497,0.8162,0.8227,0.502,0.8217,49980,49980,49980,49980,"801,5491,2631,41057","681,5611,1797,41891","4375,1917,26794,16894","694,5598,1912,41776"
BICRNN_AE_64_3X3_L,BICRNN_AE_64_3X3_L-5_RL-2_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5295,0.5465,0.5469,0.4739,0.5174,0.5126,0.5193,0.4955,0.5075,0.5052,0.51,0.4968,0.466,0.4482,0.4525,0.5184,0.4982,0.4977,0.4968,0.5019,0.8758,0.8795,0.8805,0.8595,0.8761,0.8738,0.8773,0.8671,0.8719,0.8689,0.8734,0.8669,0.816,0.8097,0.7818,0.8122,0.3514,0.4721,0.8314,0.4531,0.4099,0.5504,0.8039,0.5302,49980,49980,49980,49980,"5109,1183,31236,12452","4259,2033,24349,19339","401,5891,2536,41152","4443,1849,25484,18204",0.8022,0.8021,0.7855,0.8038,0.8436,0.8433,0.7909,0.8494,0.819,0.8189,0.7882,0.8212,49980,49980,49980,49980,"751,5541,2274,41414","753,5539,2293,41395","882,5410,5042,38646","685,5607,1920,41768"
BICRNN_AE_64_3X3_L,BICRNN_AE_64_3X3_L-5_RL-3_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5298,0.5372,0.5445,0.5066,0.5173,0.5065,0.5189,0.489,0.5076,0.502,0.5097,0.5004,0.4634,0.4531,0.4553,0.4928,0.4983,0.4997,0.498,0.4941,0.8758,0.8775,0.8799,0.8822,0.8762,0.8708,0.8772,0.8604,0.872,0.8643,0.8732,0.8581,0.8159,0.8076,0.8014,0.8084,0.351,0.4859,0.3586,0.469,0.4094,0.5646,0.4226,0.5474,49980,49980,49980,49980,"5110,1182,31256,12432","4111,2181,23513,20175","4789,1503,30554,13134","4242,2050,24488,19200",0.802,0.8006,0.7852,0.8014,0.8433,0.8385,0.687,0.8455,0.8188,0.8166,0.7281,0.819,49980,49980,49980,49980,"752,5540,2294,41394","793,5499,2575,41113","1785,4507,11137,32551","696,5596,2126,41562"
