Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
BICGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y,BWAY_EXIT_NORMAL.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9723,0.9595,0.9599,0.9734,0.9723,0.9595,0.9599,0.9734,0.9723,0.9595,0.9599,0.9734,0.1111,0.1545,0.1111,0.1097,0.1111,0.1545,0.1111,0.1097,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8834,0.9245,0.8975,0.9203,0.9373,0.96,0.9452,0.9578,11475,11475,11475,11475,"9,0,1338,10128","8,1,865,10601","9,0,1176,10290","8,1,913,10553"
BICLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y,BWAY_EXIT_NORMAL.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9729,0.9595,0.9601,0.9724,0.9729,0.9595,0.9601,0.9724,0.9729,0.9595,0.9601,0.9724,0.1111,0.1111,0.1111,0.1107,0.1111,0.1111,0.1111,0.1107,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8844,0.93,0.8923,0.9265,0.9379,0.963,0.9423,0.9611,11475,11475,11475,11475,"9,0,1327,10139","8,1,802,10664","9,0,1236,10230","8,1,842,10624"
BICRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y,BWAY_EXIT_NORMAL.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9643,0.9575,0.9573,0.9671,0.9643,0.9575,0.9573,0.9671,0.9643,0.9575,0.9573,0.9671,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9991,0.9991,0.9991,0.9991,0.9538,0.9557,0.9572,0.9562,0.9756,0.9766,0.9774,0.9768,11475,11475,11475,11475,"8,1,529,10937","8,1,507,10959","8,1,490,10976","8,1,502,10964"
C2D_AE_128_3X3,EXIT_NORMAL-{R1}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9713,0.958,0.958,0.9721,0.9713,0.958,0.958,0.9721,0.9713,0.958,0.958,0.9721,0.1111,0.1146,0.1111,0.112,0.1111,0.1146,0.1111,0.112,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8691,0.9367,0.8775,0.9367,0.9292,0.9666,0.934,0.9666,11475,11475,11475,11475,"9,0,1502,9964","8,1,725,10741","9,0,1406,10060","8,1,725,10741"
C2D_AE_128_3X3,EXIT_NORMAL-{R1}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,True,0.9708,0.9569,0.9569,0.9722,0.9708,0.9569,0.9569,0.9722,0.9708,0.9569,0.9569,0.9722,0.1111,0.1425,0.1111,0.1111,0.1111,0.1425,0.1111,0.1111,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8752,0.9315,0.8817,0.9315,0.9327,0.9638,0.9364,0.9638,11475,11475,11475,11475,"9,0,1432,10034","8,1,785,10681","9,0,1357,10109","8,1,785,10681"
C2D_AE_128_3X3,EXIT_NORMAL-{R1}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,True,0.971,0.958,0.958,0.972,0.971,0.958,0.958,0.972,0.971,0.958,0.958,0.972,0.1111,0.1379,0.1546,0.1111,0.1111,0.1379,0.1546,0.1111,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8733,0.9392,0.8836,0.9392,0.9316,0.9679,0.9374,0.9679,11475,11475,11475,11475,"9,0,1454,10012","8,1,697,10769","9,0,1336,10130","8,1,697,10769"
C2D_AE_128_3X3,EXIT_NORMAL-{R1}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,True,0.9609,0.9545,0.9545,0.9655,0.9609,0.9545,0.9545,0.9655,0.9609,0.9545,0.9545,0.9655,0.1515,0.131,0.1111,0.1276,0.1515,0.131,0.1111,0.1276,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9991,0.9991,0.9991,0.9991,0.942,0.9431,0.9493,0.9431,0.9693,0.9699,0.9732,0.9699,11475,11475,11475,11475,"8,1,665,10801","8,1,652,10814","8,1,581,10885","8,1,652,10814"
C2D_AE_128_3X3,EXIT_NORMAL-{R1}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,True,0.9655,0.9519,0.9519,0.9719,0.9655,0.9519,0.9519,0.9719,0.9655,0.9519,0.9519,0.9719,0.1111,0.1328,0.1111,0.1095,0.1111,0.1328,0.1111,0.1095,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9991,0.9991,0.9992,0.9991,0.9455,0.9439,0.8768,0.9439,0.9712,0.9704,0.9336,0.9704,11475,11475,11475,11475,"8,1,624,10842","8,1,643,10823","9,0,1414,10052","8,1,643,10823"
C2D_AE_128_3X3,EXIT_NORMAL-{R1}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,True,0.9629,0.9558,0.9558,0.9672,0.9629,0.9558,0.9558,0.9672,0.9629,0.9558,0.9558,0.9672,0.1111,0.1496,0.1618,0.1289,0.1111,0.1496,0.1618,0.1289,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9991,0.9991,0.9991,0.9991,0.9398,0.9315,0.9549,0.9315,0.9682,0.9638,0.9761,0.9638,11475,11475,11475,11475,"8,1,690,10776","8,1,785,10681","8,1,517,10949","8,1,785,10681"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9728,0.9592,0.9593,0.9728,0.9728,0.9592,0.9593,0.9728,0.9728,0.9592,0.9593,0.9728,0.1111,0.1111,0.1111,0.073,0.1111,0.1111,0.1111,0.073,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8842,0.9343,0.8922,0.9338,0.9378,0.9653,0.9423,0.965,11475,11475,11475,11475,"9,0,1329,10137","8,1,753,10713","9,0,1237,10229","8,1,759,10707"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,True,0.9709,0.9535,0.954,0.9711,0.9709,0.9535,0.954,0.9711,0.9709,0.9535,0.954,0.9711,0.1111,0.1111,0.1111,0.1063,0.1111,0.1111,0.1111,0.1063,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8821,0.9102,0.8911,0.9072,0.9366,0.9522,0.9416,0.9506,11475,11475,11475,11475,"9,0,1353,10113","8,1,1030,10436","9,0,1250,10216","8,1,1064,10402"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,True,0.9783,0.9776,0.9766,0.9789,0.9783,0.9776,0.9766,0.9789,0.9783,0.9776,0.9766,0.9789,0.0509,0.0692,0.0729,0.0461,0.0509,0.0692,0.0729,0.0461,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9992,0.9992,0.9992,0.9491,0.9271,0.9539,0.9309,0.9731,0.9614,0.9756,0.9634,11475,11475,11475,11475,"9,0,584,10882","9,0,836,10630","9,0,529,10937","9,0,793,10673"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,True,0.9696,0.9684,0.9673,0.9693,0.9696,0.9684,0.9673,0.9693,0.9696,0.9684,0.9673,0.9693,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9992,0.9992,0.9992,0.8668,0.857,0.8702,0.8678,0.9279,0.9222,0.9298,0.9284,11475,11475,11475,11475,"9,0,1528,9938","9,0,1641,9825","9,0,1489,9977","9,0,1517,9949"
C2D_AE_128_3X3_AAC,EXIT_NORMAL-{R1}.pkl,AttentionAugmentedConvs,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9715,0.955,0.9552,0.9716,0.9715,0.955,0.9552,0.9716,0.9715,0.955,0.9552,0.9716,0.1111,0.1111,0.1111,0.0757,0.1111,0.1111,0.1111,0.0757,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8843,0.9353,0.8867,0.9344,0.9378,0.9658,0.9392,0.9653,11475,11475,11475,11475,"9,0,1328,10138","8,1,742,10724","9,0,1300,10166","8,1,752,10714"
C2D_AE_128_3X3_SQZEX,_Projection_Run}.pkl,SqueezeExcitation,SUBWAY_EXIT,NORMAL,128,MSE,ADAM,False,False,0.9707,0.9512,0.9525,0.9702,0.9707,0.9512,0.9525,0.9702,0.9707,0.9512,0.9525,0.9702,0.1111,0.1111,0.1111,0.1057,0.1111,0.1111,0.1111,0.1057,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.9992,0.9991,0.9992,0.9991,0.8845,0.9233,0.884,0.9136,0.938,0.9594,0.9377,0.9541,11475,11475,11475,11475,"9,0,1325,10141","8,1,879,10587","9,0,1331,10135","8,1,990,10476"
C2D_AE_128_3X3,CSD1_NORMAL-{R1}.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,False,0.6988,0.6814,0.6955,0.6519,0.7184,0.7151,0.7151,0.6792,0.6547,0.6595,0.6595,0.6515,0.3458,0.3716,0.3528,0.3993,0.394,0.4044,0.4044,0.3895,0.4433,0.4542,0.4392,0.4619,0.519,0.5099,0.5099,0.5119,0.4535,0.4499,0.4499,0.4575,0.6309,0.6451,0.6182,0.6451,0.6335,0.6467,0.6151,0.6467,0.6314,0.634,0.6162,0.634,7200,7200,7200,7200,"2850,1195,1444,1711","3245,800,1744,1411","2557,1488,1283,1872","3245,800,1744,1411"
C2D_AE_128_3X3,CSD1_NORMAL-{R1}.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,True,0.6937,0.6576,0.6784,0.6472,0.7192,0.7036,0.7036,0.6733,0.6537,0.6544,0.6544,0.6512,0.3498,0.3874,0.3691,0.4074,0.393,0.4095,0.4095,0.3988,0.4439,0.465,0.446,0.4633,0.5178,0.516,0.516,0.5194,0.4549,0.4538,0.4538,0.4594,0.632,0.6393,0.6143,0.6393,0.6349,0.6393,0.5979,0.6393,0.6324,0.6215,0.5984,0.6215,7200,7200,7200,7200,"2874,1171,1458,1697","3323,722,1875,1280","2192,1853,1042,2113","3323,722,1875,1280"
C2D_AE_128_3X3,CSD1_NORMAL-{R1}.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,True,0.6983,0.6717,0.6888,0.6563,0.7174,0.712,0.712,0.6807,0.6525,0.6591,0.6591,0.6511,0.3456,0.3854,0.3637,0.397,0.3946,0.4084,0.4084,0.3965,0.444,0.4581,0.4425,0.4573,0.5198,0.5194,0.5194,0.5153,0.4552,0.4508,0.4508,0.4584,0.6165,0.6425,0.6131,0.6425,0.6143,0.6435,0.6133,0.6435,0.6151,0.6287,0.6132,0.6287,7200,7200,7200,7200,"2583,1462,1315,1840","3280,765,1802,1353","2660,1385,1399,1756","3280,765,1802,1353"
C2D_AE_128_3X3,CSD1_NORMAL-{R1}.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,True,0.6947,0.6853,0.7016,0.6558,0.7076,0.7068,0.7068,0.6725,0.6525,0.6595,0.6595,0.649,0.3441,0.3689,0.3515,0.394,0.3941,0.4042,0.4042,0.3973,0.4488,0.4537,0.4398,0.4585,0.5215,0.5152,0.5152,0.5189,0.4552,0.4506,0.4506,0.4598,0.6265,0.6321,0.6113,0.6321,0.6299,0.6361,0.6089,0.6361,0.6268,0.6277,0.6098,0.6277,7200,7200,7200,7200,"2884,1161,1504,1651","3092,953,1667,1488","2555,1490,1326,1829","3092,953,1667,1488"
C2D_AE_128_3X3,CSD1_NORMAL-{R1}.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,True,0.6999,0.6703,0.6996,0.671,0.7159,0.7308,0.7308,0.6857,0.6563,0.6604,0.6604,0.6553,0.3444,0.3698,0.3447,0.3693,0.3926,0.4031,0.4034,0.3895,0.4452,0.4609,0.4396,0.4531,0.5233,0.5123,0.5123,0.5156,0.4534,0.4504,0.4504,0.4563,0.6239,0.6481,0.6173,0.6481,0.626,0.6471,0.6124,0.6471,0.6246,0.6302,0.6137,0.6302,7200,7200,7200,7200,"2788,1257,1436,1719","3339,706,1835,1320","2496,1549,1242,1913","3339,706,1835,1320"
C2D_AE_128_3X3,CSD1_NORMAL-{R1}.pkl,Normal,UCSD1,NORMAL,128,MSE,ADAM,False,True,0.6978,0.6718,0.6934,0.6623,0.7145,0.7167,0.7167,0.6775,0.6572,0.6635,0.6635,0.6535,0.3553,0.3724,0.3591,0.3911,0.3886,0.3984,0.3984,0.3899,0.4439,0.4603,0.441,0.4542,0.5182,0.5061,0.5061,0.5166,0.453,0.4496,0.4496,0.4578,0.6258,0.6543,0.6184,0.6543,0.6288,0.6476,0.6107,0.6476,0.6263,0.6241,0.6122,0.6241,7200,7200,7200,7200,"2851,1194,1479,1676","3465,580,1957,1198","2420,1625,1178,1977","3465,580,1957,1198"
C2D_AE_128_3X3_AAC,CSD1_NORMAL-{R1}.pkl,AttentionAugmentedConvs,UCSD1,NORMAL,128,MSE,ADAM,False,False,0.6834,0.6817,0.6708,0.6353,0.7109,0.7071,0.7069,0.6937,0.6542,0.6619,0.6608,0.6564,0.3849,0.3543,0.3784,0.404,0.3981,0.4076,0.4079,0.3937,0.4447,0.4464,0.448,0.4584,0.5193,0.5204,0.521,0.509,0.4555,0.451,0.4517,0.4586,0.6256,0.6398,0.6424,0.6417,0.6294,0.6404,0.6419,0.6425,0.6252,0.624,0.6243,0.6271,7200,7200,7200,7200,"2928,1117,1551,1604","3300,745,1844,1311","3332,713,1865,1290","3288,757,1817,1338"
C2D_AE_128_3X3,CSD2_NORMAL-{R1}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,False,0.8596,0.7719,0.815,0.832,0.9035,0.8489,0.8489,0.8612,0.7058,0.7175,0.7175,0.7126,0.2186,0.2769,0.2597,0.2541,0.3999,0.3635,0.3635,0.3647,0.6687,0.7153,0.692,0.6804,0.7373,0.7553,0.7553,0.7558,0.7137,0.7188,0.7188,0.722,0.7984,0.824,0.7986,0.824,0.7687,0.4945,0.7871,0.4945,0.7808,0.536,0.7923,0.536,2010,2010,2010,2010,1355293172190,"667,981,35,327",1409239189173,"667,981,35,327"
C2D_AE_128_3X3,CSD2_NORMAL-{R1}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.8738,0.8165,0.8465,0.8198,0.8982,0.8453,0.8453,0.8339,0.7331,0.7432,0.7432,0.7243,0.1978,0.232,0.2184,0.2597,0.3702,0.3373,0.337,0.3786,0.6602,0.6927,0.6775,0.6855,0.7343,0.7547,0.7547,0.7648,0.7036,0.7082,0.7082,0.7146,0.8073,0.812,0.8256,0.812,0.8134,0.6104,0.5259,0.6104,0.8101,0.655,0.5699,0.655,2010,2010,2010,2010,1476172203159,"939,709,74,288","734,914,39,323","939,709,74,288"
C2D_AE_128_3X3,CSD2_NORMAL-{R1}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.8057,0.7688,0.7971,0.7623,0.8332,0.7743,0.7743,0.7626,0.6564,0.6761,0.6761,0.6491,0.2433,0.2624,0.2542,0.2967,0.453,0.4006,0.4006,0.4329,0.6985,0.715,0.6954,0.7051,0.7596,0.7674,0.7674,0.7732,0.7263,0.7225,0.7225,0.7257,0.7973,0.7891,0.7887,0.7891,0.7741,0.7731,0.7622,0.7731,0.784,0.7803,0.7734,0.7803,2010,2010,2010,2010,1373275179183,1387261195167,1356292186176,1387261195167
C2D_AE_128_3X3,CSD2_NORMAL-{R1}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.8635,0.8034,0.8331,0.827,0.8942,0.8246,0.8246,0.7889,0.6993,0.7242,0.7242,0.7047,0.2008,0.2238,0.23,0.2433,0.4376,0.3811,0.3811,0.3923,0.6699,0.7015,0.6827,0.683,0.7366,0.76,0.76,0.7624,0.7158,0.7107,0.7107,0.7158,0.8058,0.8165,0.7952,0.8165,0.797,0.5209,0.7821,0.5209,0.8011,0.5658,0.788,0.5658,2010,2010,2010,2010,1424224184178,"732,916,47,315",1401247191171,"732,916,47,315"
C2D_AE_128_3X3,CSD2_NORMAL-{R1}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.8701,0.7914,0.8237,0.8115,0.9023,0.8258,0.8258,0.8255,0.694,0.6895,0.6895,0.6709,0.1961,0.2445,0.2201,0.2702,0.4575,0.4242,0.4242,0.4586,0.6603,0.7046,0.6877,0.6928,0.7329,0.7648,0.7648,0.7679,0.7135,0.7181,0.7181,0.7187,0.806,0.7926,0.8091,0.7926,0.8139,0.7786,0.8174,0.7786,0.8096,0.7849,0.8128,0.7849,2010,2010,2010,2010,1481167207155,1396252193169,1486162205157,1396252193169
C2D_AE_128_3X3,CSD2_NORMAL-{R1}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.8473,0.781,0.827,0.8279,0.9115,0.862,0.862,0.8661,0.6927,0.6997,0.6997,0.7045,0.2191,0.2621,0.2303,0.25,0.4344,0.3647,0.3647,0.3956,0.6749,0.7085,0.68,0.6794,0.7358,0.757,0.757,0.7574,0.714,0.7087,0.7087,0.7068,0.8183,0.8158,0.8267,0.8158,0.8244,0.8254,0.8368,0.8254,0.8211,0.8199,0.8307,0.8199,2010,2010,2010,2010,1488160193169,1499149202160,1515133195167,1499149202160
C2D_AE_128_3X3,_Projection_Run}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.7509,0.7844,0.766,0.743,0.8668,0.8729,0.8746,0.8448,0.7141,0.7041,0.7025,0.6914,0.3343,0.279,0.2925,0.3343,0.3944,0.4309,0.429,0.4254,0.6923,0.6874,0.6906,0.6962,0.744,0.7403,0.7399,0.7523,0.7033,0.7068,0.7076,0.7192,0.8289,0.8161,0.8221,0.8179,0.8428,0.8194,0.8294,0.8204,0.8332,0.8177,0.8253,0.8191,2010,2010,2010,2010,"1537,111,205,157","1475,173,190,172","1497,151,192,170","1474,174,187,175"
C2D_AE_128_3X3,_Projection_Run}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.8655,0.8621,0.8616,0.5585,0.8928,0.8953,0.8953,0.5712,0.6784,0.6634,0.6635,0.5028,0.1966,0.1982,0.1984,0.463,0.3536,0.3756,0.3756,0.5249,0.6582,0.6615,0.6616,0.7965,0.7487,0.7507,0.7507,0.8296,0.7438,0.7461,0.746,0.804,0.7928,0.7753,0.7263,0.7753,0.704,0.704,0.7403,0.704,0.7332,0.73,0.7329,0.73,2010,2010,2010,2010,"1193,455,140,222","1224,424,171,191","1411,237,285,77","1224,424,171,191"
C2D_AE_128_3X3,_Projection_Run}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.8357,0.8498,0.8469,0.8306,0.8613,0.8561,0.8564,0.8495,0.6462,0.6517,0.6495,0.6139,0.2265,0.2227,0.2275,0.2354,0.4717,0.4558,0.4613,0.4632,0.6739,0.6713,0.6704,0.6822,0.7502,0.7609,0.7608,0.7668,0.7184,0.7163,0.7171,0.74,0.8317,0.8458,0.8032,0.8459,0.8348,0.8552,0.7861,0.8547,0.8332,0.8491,0.7935,0.8491,2010,2010,2010,2010,"1491,157,175,187","1537,111,180,182","1396,252,178,184","1534,114,178,184"
C2D_AE_128_3X3,_Projection_Run}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.1853,0.1793,0.1795,0.5818,0.1061,0.1048,0.1051,0.6097,0.2268,0.214,0.2142,0.5299,0.7379,0.7491,0.7486,0.4392,0.7007,0.7288,0.7288,0.4769,0.9562,0.9584,0.9583,0.7924,0.9718,0.9717,0.9717,0.8308,0.9476,0.9508,0.9508,0.829,0.8534,0.8534,0.7412,0.8534,0.2124,0.2119,0.4751,0.2119,0.1187,0.1178,0.5275,0.1178,2010,2010,2010,2010,"65,1583,0,362","64,1584,0,362","710,938,117,245","64,1584,0,362"
C2D_AE_128_3X3,_Projection_Run}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.8279,0.8212,0.818,0.8073,0.8541,0.8567,0.8566,0.8462,0.6691,0.6646,0.6625,0.6352,0.2077,0.2407,0.2451,0.2597,0.4696,0.4558,0.4613,0.4641,0.6663,0.6835,0.6802,0.6818,0.7446,0.7584,0.7585,0.7647,0.7177,0.713,0.7138,0.7323,0.8416,0.8548,0.8053,0.8576,0.8517,0.8662,0.7896,0.8687,0.8451,0.8562,0.7965,0.8586,2010,2010,2010,2010,"1535,113,185,177","1569,79,190,172","1402,246,177,185","1573,75,189,173"
C2D_AE_128_3X3,_Projection_Run}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.826,0.8296,0.8269,0.828,0.8367,0.8482,0.8485,0.8492,0.6468,0.6477,0.6453,0.6187,0.2564,0.2506,0.2542,0.2646,0.4696,0.4558,0.4604,0.4641,0.6753,0.679,0.678,0.6795,0.7618,0.7621,0.7621,0.7671,0.7197,0.7173,0.7182,0.7386,0.8234,0.848,0.8027,0.8463,0.8219,0.8582,0.7851,0.8557,0.8226,0.8512,0.7927,0.8495,2010,2010,2010,2010,"1465,183,175,187","1545,103,182,180","1394,254,178,184","1538,110,180,182"
C2D_AE_128_3X3,_Projection_Run}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.7889,0.8112,0.8115,0.81,0.8413,0.8358,0.8365,0.8242,0.6704,0.6556,0.6531,0.643,0.2811,0.2876,0.2928,0.2664,0.4641,0.4558,0.4589,0.4586,0.6827,0.6835,0.68,0.6798,0.7563,0.7669,0.7667,0.7703,0.7139,0.7149,0.7159,0.7283,0.8402,0.8442,0.8068,0.8514,0.8478,0.8557,0.7935,0.8632,0.8433,0.8474,0.7994,0.8535,2010,2010,2010,2010,"1520,128,178,184","1548,100,190,172","1411,237,178,184","1564,84,191,171"
C2D_AE_128_3X3,_Projection_Run}.pkl,Normal,UCSD2,NORMAL,128,MSE,ADAM,False,True,0.7804,0.8313,0.8294,0.8268,0.8508,0.8604,0.8608,0.8527,0.654,0.6489,0.6463,0.6191,0.2801,0.2324,0.2421,0.2367,0.4666,0.4558,0.4613,0.4596,0.6926,0.6823,0.6802,0.681,0.752,0.7604,0.7603,0.7665,0.7182,0.7166,0.7176,0.7375,0.8353,0.8443,0.8053,0.848,0.8418,0.8537,0.7866,0.8577,0.8381,0.8476,0.7946,0.8512,2010,2010,2010,2010,"1509,139,179,183","1535,113,181,181","1393,255,174,188","1542,106,180,182"
C2D_AE_128_3X3_AAC,CSD2_NORMAL-{R1}.pkl,AttentionAugmentedConvs,UCSD2,NORMAL,128,MSE,ADAM,False,False,0.8537,0.8593,0.8601,0.8181,0.9463,0.8825,0.884,0.8903,0.7062,0.7516,0.7494,0.7273,0.2459,0.2081,0.221,0.2791,0.4496,0.3689,0.3701,0.4058,0.6698,0.6662,0.6649,0.6838,0.7248,0.7467,0.7462,0.7364,0.7122,0.7017,0.7032,0.7089,0.8109,0.8295,0.8048,0.8321,0.8,0.5831,0.7856,0.5726,0.8049,0.6279,0.7938,0.6173,2010,2010,2010,2010,"1422,226,176,186","856,792,46,316","1391,257,174,188","830,818,41,321"
C2D_AE_128_3X3_SQZEX,_Projection_Run}.pkl,SqueezeExcitation,UCSD2,NORMAL,128,MSE,ADAM,False,False,0.8299,0.78,0.77,0.8342,0.9316,0.8272,0.8275,0.8937,0.6984,0.7122,0.7102,0.7083,0.268,0.3204,0.3398,0.2652,0.4363,0.3968,0.3977,0.4138,0.6752,0.6895,0.6888,0.6749,0.7287,0.7632,0.763,0.7387,0.7174,0.7164,0.718,0.7174,0.8092,0.8232,0.7921,0.8237,0.8134,0.5129,0.7776,0.5104,0.8112,0.5563,0.7842,0.5536,2010,2010,2010,2010,"1471,177,198,164","708,940,39,323","1394,254,193,169","702,946,38,324"
